CREATEDAT;CREATEDBY;MODIFIEDAT;MODIFIEDBY;ID;CONTRACT_ID;PRODUCT_ID;DESCR;UNITCOST;QTY;TOTALCOST;OMANNUALCOST;PRODUCTCATEGORY_ID
"2023-06-07 04:48:51.516000000";"ali.akbarchawla@enbridge.com";"2023-06-07 04:48:51.516000000";"ali.akbarchawla@enbridge.com";"730e8cb3-5f29-4525-b193-595ad605716f";"3a331d16-b5a4-4e30-b716-c57821f39999";"270991b4-9a54-4b54-ac99-36a6a7085a64";"Manu2 Heat Pump E2922";"100.00";"1";"100.00";"95.00";"GOH"
"2023-06-07 04:50:25.631000000";"ali.akbarchawla@enbridge.com";"2023-06-07 04:50:25.631000000";"ali.akbarchawla@enbridge.com";"fb190854-e8f6-40b4-99d1-2df7edee8f18";"30734d58-de00-48a9-8fd7-e68a81f6ebb6";"270991b4-9a54-4b54-ac99-36a6a7085a64";"Manu2 Heat Pump E2922";"100.00";"1";"100.00";"95.00";"GOH"
"2023-06-07 04:59:31.370000000";"ali.akbarchawla@enbridge.com";"2023-06-07 04:59:31.370000000";"ali.akbarchawla@enbridge.com";"160de776-d9a0-47fa-99f4-0cdf74d9fb75";"45069457-c669-473d-925d-314c59704001";"270991b4-9a54-4b54-ac99-36a6a7085a64";"Manu2 Heat Pump E2922";"100.00";"1";"100.00";"95.00";"GOH"
"2023-06-07 05:02:32.653000000";"ali.akbarchawla@enbridge.com";"2023-06-07 05:02:32.653000000";"ali.akbarchawla@enbridge.com";"cb4a26a5-c5b3-48e9-8c0c-93827cb852fb";"73541ba3-218c-456a-a2ea-424ed28e9fa3";"270991b4-9a54-4b54-ac99-36a6a7085a64";"Manu2 Heat Pump E2922";"100.00";"1";"100.00";"95.00";"GOH"
"2023-06-07 05:56:50.831000000";"ali.akbarchawla@enbridge.com";"2023-06-07 05:56:50.831000000";"ali.akbarchawla@enbridge.com";"b959cfbe-ac22-4a55-8ae0-98aa9cf781a5";"fbbc5373-df51-4dfe-b150-401395f2a7ae";"270991b4-9a54-4b54-ac99-36a6a7085a64";"Manu2 Heat Pump E2922";"100.00";"1";"100.00";"95.00";"GOH"
"2023-06-07 05:59:51.058000000";"ali.akbarchawla@enbridge.com";"2023-06-07 05:59:51.058000000";"ali.akbarchawla@enbridge.com";"5068c793-f381-4a26-a3cc-9f0c5a357804";"a061b467-8b67-4a55-b33d-8cf71f792748";"270991b4-9a54-4b54-ac99-36a6a7085a64";"Manu2 Heat Pump E2922";"100.00";"1";"100.00";"95.00";"GOH"
"2023-06-07 06:06:03.656000000";"ali.akbarchawla@enbridge.com";"2023-06-07 06:06:03.656000000";"ali.akbarchawla@enbridge.com";"6e28560a-064d-40a5-ae00-1341b4adf5b7";"f0e96048-24e4-4bc0-88d3-75dc6b6de986";"270991b4-9a54-4b54-ac99-36a6a7085a64";"Manu2 Heat Pump E2922";"100.00";"1";"100.00";"95.00";"GOH"
"2023-06-07 06:07:44.422000000";"ali.akbarchawla@enbridge.com";"2023-06-07 06:07:44.422000000";"ali.akbarchawla@enbridge.com";"cb2db804-2da6-458b-b455-74922dd50829";"5cfaece7-f9c3-48b5-8363-5e28069236f3";"270991b4-9a54-4b54-ac99-36a6a7085a64";"Manu2 Heat Pump E2922";"100.00";"1";"100.00";"95.00";"GOH"
"2023-06-07 06:08:42.215000000";"ali.akbarchawla@enbridge.com";"2023-06-07 06:08:42.215000000";"ali.akbarchawla@enbridge.com";"1f1f65ca-750d-40b8-8e49-345cfe9bbc7a";"b0ac7413-f7e8-4c7a-b99a-35478c895ebd";"270991b4-9a54-4b54-ac99-36a6a7085a64";"Manu2 Heat Pump E2922";"100.00";"1";"100.00";"95.00";"GOH"
"2023-06-07 06:09:24.028000000";"ali.akbarchawla@enbridge.com";"2023-06-07 06:09:24.028000000";"ali.akbarchawla@enbridge.com";"4dc31b5f-4c1c-4805-984f-4b507170f1aa";"165c7fe7-4d96-4a59-80a0-c9a490705f6c";"270991b4-9a54-4b54-ac99-36a6a7085a64";"Manu2 Heat Pump E2922";"100.00";"1";"100.00";"95.00";"GOH"
"2023-06-07 07:11:18.363000000";"ali.akbarchawla@enbridge.com";"2023-06-07 07:11:18.363000000";"ali.akbarchawla@enbridge.com";"f3ea2814-05ce-45b1-83b8-f313a22c9261";"f8d6ee44-6961-4243-ad9f-3c7629bef0d7";"270991b4-9a54-4b54-ac99-36a6a7085a64";"Manu2 Heat Pump E2922";"100.00";"1";"100.00";"95.00";"GOH"
"2023-06-07 10:26:48.259000000";"aamir.saeed@enbridge.com";"2023-06-07 10:26:48.259000000";"aamir.saeed@enbridge.com";"c03d4ddd-b7d7-4104-b34b-0d3825622494";"70316530-719e-4f14-b38c-3d9a76f3f12c";"270991b4-9a54-4b54-ac99-36a6a7085a64";"Manu2 Heat Pump E2922";"10.00";"1";"10.00";"95.00";"GOH"
"2023-06-07 11:22:32.622000000";"ali.akbarchawla@enbridge.com";"2023-06-07 11:22:32.622000000";"ali.akbarchawla@enbridge.com";"3b2d75a3-c40d-4c9f-91d1-a8d8e262044f";"f1b01652-e929-44d1-bb7d-ab5f8c1a564e";"270991b4-9a54-4b54-ac99-36a6a7085a64";"Manu2 Heat Pump E2922";"100.00";"1";"100.00";"95.00";"GOH"
"2023-06-07 11:23:03.813000000";"aamir.saeed@enbridge.com";"2023-06-07 11:23:03.813000000";"aamir.saeed@enbridge.com";"cd7e12a1-2e72-47b9-b716-ac66b0e3105c";"212016cf-8892-487e-a4a1-018a58629f11";"270991b4-9a54-4b54-ac99-36a6a7085a64";"Manu2 Heat Pump E2922";"10.00";"10";"100.00";"95.00";"GOH"
"2023-06-07 11:25:01.085000000";"aamir.saeed@enbridge.com";"2023-06-07 11:25:01.085000000";"aamir.saeed@enbridge.com";"d27fc21a-cc01-47df-9171-b9b3cc07ecef";"2b176f68-617c-4d7e-b0e3-f6acbe0b871a";"270991b4-9a54-4b54-ac99-36a6a7085a64";"Manu2 Heat Pump E2922";"10.00";"10";"100.00";"95.00";"GOH"
"2023-06-07 11:30:27.624000000";"aamir.saeed@enbridge.com";"2023-06-07 11:30:27.624000000";"aamir.saeed@enbridge.com";"31d20bad-672e-4a3f-b10e-4208f7f0ec7e";"1446d93b-23c4-4d43-8ca7-d754564c2c67";"270991b4-9a54-4b54-ac99-36a6a7085a64";"Manu2 Heat Pump E2922";"100.00";"10";"1000.00";"95.00";"GOH"
"2023-06-07 11:47:28.245000000";"aamir.saeed@enbridge.com";"2023-06-07 11:47:28.245000000";"aamir.saeed@enbridge.com";"ac3aaa6e-aa3f-4fd0-9873-f532e8899d28";"7f0a0d93-6295-4774-b7be-908f31dd7f01";"270991b4-9a54-4b54-ac99-36a6a7085a64";"Manu2 Heat Pump E2922";"100.00";"10";"1000.00";"95.00";"GOH"
"2023-06-07 11:50:24.203000000";"aamir.saeed@enbridge.com";"2023-06-07 11:50:24.203000000";"aamir.saeed@enbridge.com";"e55276e5-c7f8-4ed2-bf01-d759e4228514";"f69f9ac3-0b19-4456-888c-598bf21aef7c";"270991b4-9a54-4b54-ac99-36a6a7085a64";"Manu2 Heat Pump E2922";"100.00";"10";"1000.00";"95.00";"GOH"
